2024-10-26,BE5613,11387
2024-10-26,YR3217,10656
2024-10-26,YR8837,10260
2024-10-26,BE1054,10132
2024-10-26,YR4098,10050
2024-10-26,YR6068,9826
2024-10-26,BE5092,9820
2024-10-26,YR8129,9731
2024-10-26,YR8558,9683
2024-10-26,YR5190,9586
2024-10-26,BE2494,9558
2024-10-26,BE4797,9398
2024-10-26,YR5698,9288
2024-10-26,YR6095,9243
2024-10-26,BE9667,9106
2024-10-26,BE9002,9066
2024-10-26,OJ5085,9049
2024-10-26,BE3466,9003
2024-10-26,GQ5324,8967
2024-10-26,XV5324,8967
2024-10-26,BE9628,8903
2024-10-26,BE3513,8851
2024-10-26,BE3684,8809
2024-10-26,OJ2536,8706
2024-10-26,XV1054,8684
2024-10-26,BE2612,8484
2024-10-26,BE9451,8479
2024-10-26,XV4868,8398
2024-10-26,OJ5865,8395
2024-10-26,BE2889,8314
2024-10-26,OJ9992,8306
2024-10-26,OJ8558,8300
2024-10-26,GQ8275,8244
2024-10-26,XV6314,8182
2024-10-26,YR2955,8172
2024-10-26,BE6167,8160
2024-10-26,XV3949,8117
2024-10-26,XV7687,8104
2024-10-26,GQ9387,8073
2024-10-26,YR6083,8056
2024-10-26,XV4797,8056
2024-10-26,OJ9732,8048
2024-10-26,BE5386,8007
2024-10-26,GQ9568,7992
2024-10-26,XV9568,7992
2024-10-26,OJ1343,7931
2024-10-26,GQ1780,7928
2024-10-26,XV1780,7928
2024-10-26,GQ6095,7922
2024-10-26,YR7220,7921
2024-10-26,YR4226,7910
2024-10-26,YR7896,7891
2024-10-26,OJ4468,7861
2024-10-26,GQ6177,7720
2024-10-26,XV6177,7720
2024-10-26,XV7397,7701
2024-10-26,OJ9269,7567
2024-10-26,YR4165,7547
2024-10-26,BE9225,7527
2024-10-26,OJ7306,7522
2024-10-26,BE6693,7509
2024-10-26,XV4304,7507
2024-10-26,BE3766,7500
2024-10-26,YR5986,7499
2024-10-26,GQ5488,7468
2024-10-26,XV5488,7468
2024-10-26,YR5005,7368
2024-10-26,OJ3183,7321
2024-10-26,OJ9922,7317
2024-10-26,GQ9784,7295
2024-10-26,XV9784,7295
2024-10-26,GQ8531,7237
2024-10-26,XV8531,7237
2024-10-26,GQ7785,7215
2024-10-26,XV7785,7215
2024-10-26,YR4591,7206
2024-10-26,XV2889,7126
2024-10-26,GQ4721,7120
2024-10-26,XV4721,7120
2024-10-26,GQ4211,7087
2024-10-26,XV4211,7087
2024-10-26,OJ7592,7071
2024-10-26,BE5249,7070
2024-10-26,YR1475,7013
2024-10-26,OJ2955,7005
2024-10-26,GQ8391,6993
2024-10-26,XV8391,6993
2024-10-26,GQ8870,6870
2024-10-26,XV8870,6870
2024-10-26,OJ4886,6855
2024-10-26,XV7837,6778
2024-10-26,GQ8207,6767
2024-10-26,GQ7896,6764
2024-10-26,XV6365,6756
2024-10-26,XV1461,6714
2024-10-26,GQ1461,6714
2024-10-26,OJ6529,6590
2024-10-26,OJ3977,6579
2024-10-26,GQ2163,6568
2024-10-26,XV2163,6568
2024-10-26,YR1845,6470
2024-10-26,XV6693,6436
2024-10-26,XV3766,6429
2024-10-26,XV4758,6398
2024-10-26,XV3375,6331
2024-10-26,GQ3360,6323
2024-10-26,XV3360,6323
2024-10-26,OJ5005,6316
2024-10-26,GQ3106,6266
2024-10-26,GQ3700,6265
2024-10-26,OJ9422,6190
2024-10-26,BE4691,6140
2024-10-26,GQ4201,6125
2024-10-26,YR1632,6073
2024-10-26,XV5249,6060
2024-10-26,YR1393,6053
2024-10-26,YR8834,5986
2024-10-26,GQ3170,5985
2024-10-26,YR8867,5868
2024-10-26,BE8164,5829
2024-10-26,YR2692,5791
2024-10-26,YR8473,5780
2024-10-26,YR4368,5743
2024-10-26,BE7495,5730
2024-10-26,YR5253,5705
2024-10-26,GQ7388,5607
2024-10-26,XV7388,5607
2024-10-26,OJ5020,5601
2024-10-26,BE1377,5492
2024-10-26,YR8737,5404
2024-10-26,BE2437,5348
2024-10-26,GQ5000,5332
2024-10-26,XV5000,5332
2024-10-26,OJ2470,5313
2024-10-26,XV3613,5305
2024-10-26,BE7565,5214
2024-10-26,YR8930,5212
2024-10-26,OJ1393,5188
2024-10-26,GQ7679,5165
2024-10-26,XV7679,5165
2024-10-26,OJ8445,5147
2024-10-26,BE4659,5038
2024-10-26,OJ1674,5035
2024-10-26,OJ8867,5030
2024-10-26,BE1512,5030
2024-10-26,OJ2461,5012
2024-10-26,GQ3587,4979
2024-10-26,YR6219,4923
2024-10-26,GQ4368,4923
2024-10-26,GQ1372,4885
2024-10-26,OJ2039,4834
2024-10-26,XV2437,4584
2024-10-26,OJ8079,4516
2024-10-26,GQ9524,4332
2024-10-26,OJ8807,3859
